listing_id,price,borough,neighborhood,price_per_month,price_range,latitude,longitude
33472719,140.0,Manhattan, Upper West Side,4258.333333333333,Average,40.78232,-73.97575
33473125,165.0,Manhattan, East Harlem,5018.75,Average,40.78974,-73.94933
33473664,750.0,Brooklyn, Fort Greene,22812.5,Extravagant,40.68991,-73.97352
33473838,165.0,Manhattan, East Harlem,5018.75,Average,40.79,-73.94964
33474092,50.0,Manhattan, Upper West Side,1520.8333333333333,Budget,40.79908,-73.96465
33474649,65.0,Manhattan, Midtown,1977.0833333333333,Budget,40.74567,-73.98478
33474952,125.0,Manhattan, East Village,3802.0833333333335,Average,40.72503,-73.98466
33475698,250.0,Queens, Jamaica Estates,7604.166666666667,Expensive,40.71668,-73.80588
33475840,50.0,Queens, Sunnyside,1520.8333333333333,Budget,40.74685,-73.91586
33477284,115.0,Brooklyn, Bedford-Stuyvesant,3497.9166666666665,Average,40.68171,-73.92858
33485088,40.0,Brooklyn, Bedford-Stuyvesant,1216.6666666666667,Budget,40.68782,-73.94327
33485823,80.0,Manhattan, East Village,2433.3333333333335,Average,40.72713,-73.98402
